id,pred
S001,D63
S002,D63
S003,D63
S004,D57
S005,D63
S006,D63
S007,D63
S008,D63
S009,D63
S010,D63
S011,D63
S012,D63
S013,D63
S014,D63
S015,D63
S016,D63
S017,D63
S018,D63
S019,D63
S020,D63
S021,D63
S022,D63
S023,D63
S024,D63
S025,D63
S026,D63
S027,D63
S028,D63
S029,D63
S030,D57
S031,D63
S032,D63
S033,D63
S034,D63
S035,D63
S036,D63
S037,D63
S038,D63
S039,D8
S040,D63
S041,D63
S042,D63
S043,D63
S044,D63
S045,D63
S046,D63
S047,D63
S048,D63
S049,D63
S050,D63
S051,D63
S052,D63
S053,D63
S054,D52
S055,D8
S056,D63
S057,D63
S058,D63
S059,D63
S060,D63
S061,D63
S062,D63
S063,D63
S064,D63
S065,D63
S066,D63
S067,D63
S068,D63
S069,D63
S070,D63
S071,D63
S072,D63
S073,D63
S074,D63
S075,D63
S076,D63
S077,D63
S078,D63
S079,D63
S080,D63
S081,D63
S082,D63
S083,D63
S084,D63
S085,D63
S086,D63
S087,D63
S088,D63
S089,D63
S090,D63
S091,D63
S092,D63
S093,D63
S094,D63
S095,D63
S096,D63
S097,D63
S098,D63
S099,D63
S100,D63
